to acknowledge	reconocer, admitir	She acknowledged that the campaign had underperformed.	verb
to undermine	socavar, minar	Constant delays undermined the team's confidence.	verb
to tackle	abordar, atacar (un problema)	We need to tackle churn before we spend more on ads.	verb
to overlook	pasar por alto	I overlooked a key detail in the contract.	verb
to outweigh	pesar más que, compensar	The benefits clearly outweigh the risks.	verb
to comply with	cumplir con (una norma)	All vendors must comply with the new data rules.	verb
to enforce	hacer cumplir	Nobody was enforcing the naming convention.	verb
to disclose	revelar, divulgar	They refused to disclose the terms of the deal.	verb
to waive	renunciar a, eximir de	We waived the setup fee for early customers.	verb
to breach	incumplir, violar	The supplier breached the agreement twice.	verb
to allocate	asignar, destinar	We allocated most of the budget to paid search.	verb
to streamline	agilizar, simplificar	The new tool streamlined our onboarding.	verb
to scale back	reducir, recortar	They scaled back hiring after the funding round.	verb
to phase out	eliminar gradualmente	We are phasing out the legacy plan next quarter.	verb
to roll out	lanzar, desplegar	We rolled out the feature to 10% of users.	verb
to follow up	hacer seguimiento	I will follow up with the client on Monday.	verb
to catch up on	ponerse al día con	I need to catch up on last week's emails.	verb
to come across as	dar la impresión de ser	He comes across as overly cautious in interviews.	verb
to bring up	sacar (un tema)	She brought up the pricing issue again.	verb
to bring about	provocar, ocasionar	The change brought about a drop in signups.	verb
to carry out	llevar a cabo	We carried out a full audit of the funnel.	verb
to figure out	averiguar, resolver	It took us weeks to figure out the bug.	verb
to sort out	arreglar, solucionar	Can you sort out the billing issue today?	verb
to work out	salir bien; calcular	The partnership did not work out.	verb
to turn down	rechazar	She turned down two offers last month.	verb
to turn out	resultar (ser)	It turned out to be a tracking error.	verb
to put off	posponer	Let us not put off the decision any longer.	verb
to put up with	aguantar, soportar	I will not put up with that process much longer.	verb
to look into	investigar, mirar	I will look into why the numbers dropped.	verb
to run into	toparse con	We ran into a few technical issues.	verb
to come up with	idear, ocurrírsele	She came up with a smarter approach.	verb
to get around to	llegar a hacer algo	I never got around to fixing the docs.	verb
to keep track of	llevar la cuenta de	It is hard to keep track of every experiment.	verb
