to afford	permitirse (económicamente)	I can't afford a new car this year.	verb
to agree	estar de acuerdo	I agree with you.	verb
to allow	permitir	They don't allow dogs in the shop.	verb
to apply for	solicitar (un trabajo)	I applied for three jobs last week.	verb
to argue	discutir	They argue about money a lot.	verb
to arrange	organizar, concertar	Let's arrange a meeting for Monday.	verb
to attend	asistir a	I attended the conference last year.	verb
to avoid	evitar	I try to avoid the traffic.	verb
to belong to	pertenecer a	This book belongs to my sister.	verb
to blame	culpar	Don't blame me for the delay.	verb
to borrow	pedir prestado	Can I borrow your pen?	verb
to lend	prestar	He lent me his car.	verb
to break down	averiarse	My car broke down yesterday.	verb
to bring	traer	Bring your laptop tomorrow.	verb
to build	construir	They are building a new school.	verb
to care about	preocuparse por	She really cares about her work.	verb
to catch	coger, atrapar	I need to catch the 8am train.	verb
to change	cambiar	I changed my mind.	verb
to choose	elegir	It's hard to choose.	verb
to complain	quejarse	He complained about the noise.	verb
to compare	comparar	Let's compare the two options.	verb
to consider	considerar	I'm considering a new job.	verb
to continue	continuar	We continued working until six.	verb
to count	contar	Count how many are left.	verb
to decide	decidir	I decided to stay home.	verb
to deliver	entregar	They deliver on Saturdays.	verb
to depend on	depender de	It depends on the weather.	verb
to describe	describir	Can you describe the problem?	verb
to develop	desarrollar	We developed a new product.	verb
to disagree	no estar de acuerdo	I disagree with that idea.	verb
to discover	descubrir	They discovered the mistake later.	verb
to earn	ganar (dinero)	She earns a good salary.	verb
to spend	gastar; pasar (tiempo)	I spend too much time online.	verb
to enjoy	disfrutar	I enjoy cooking at weekends.	verb
to expect	esperar (algo previsto)	I expect an answer tomorrow.	verb
to explain	explicar	Can you explain it again?	verb
to fail	fracasar, suspender	The plan failed.	verb
to succeed	tener éxito	She succeeded on her second try.	verb
to fill in	rellenar	Fill in this form, please.	verb
to find out	averiguar	I found out the truth yesterday.	verb
to fix	arreglar	Can you fix my phone?	verb
to follow	seguir	Follow me, please.	verb
to forget	olvidar	I forgot my keys.	verb
to remember	recordar	I remember that day well.	verb
to remind	recordar (a alguien)	Remind me to call her.	verb
to get on with	llevarse bien con	I get on well with my boss.	verb
to give up	rendirse, dejar de	He gave up smoking.	verb
to grow	crecer	The company is growing fast.	verb
to guess	adivinar, suponer	I guess you're right.	verb
to happen	ocurrir	What happened?	verb
to hate	odiar	I hate waiting.	verb
to hire	contratar	They hired two new people.	verb
to hold	sostener	Hold this for a second.	verb
to hope	esperar (desear)	I hope you feel better.	verb
to hurry	darse prisa	Hurry up, we're late.	verb
to improve	mejorar	I want to improve my English.	verb
to include	incluir	Does the price include breakfast?	verb
to increase	aumentar	Prices increased last month.	verb
to reduce	reducir	We need to reduce costs.	verb
to invite	invitar	They invited us to dinner.	verb
to join	unirse a	I joined the company in 2023.	verb
to keep	guardar, mantener	Keep the receipt.	verb
to learn	aprender	I'm learning English.	verb
to leave	irse; dejar	I leave the office at six.	verb
to lose	perder	I lost my wallet.	verb
to manage	arreglárselas; gestionar	I managed to finish on time.	verb
to mean	significar; querer decir	What does this word mean?	verb
to mention	mencionar	He mentioned it yesterday.	verb
to miss	perder (un tren); echar de menos	I missed the bus.	verb
to move	mover, mudarse	We moved to Madrid last year.	verb
to need	necesitar	I need more time.	verb
to notice	darse cuenta de	I didn't notice the change.	verb
to offer	ofrecer	They offered me the job.	verb
to order	pedir (comida, productos)	I ordered a coffee.	verb
to own	poseer	She owns two flats.	verb
to pay attention	prestar atención	Pay attention to the details.	verb
to prefer	preferir	I prefer tea to coffee.	verb
to prepare	preparar	I'm preparing dinner.	verb
to prevent	evitar, prevenir	This will prevent problems later.	verb
to promise	prometer	I promise I'll call you.	verb
to provide	proporcionar	They provide free training.	verb
to receive	recibir	I received your email.	verb
to recommend	recomendar	I recommend this restaurant.	verb
to refuse	negarse	He refused to help.	verb
to relax	relajarse	I relax by walking.	verb
to rent	alquilar	We rent a flat near the beach.	verb
to repeat	repetir	Could you repeat that?	verb
to replace	sustituir	We replaced the old printer.	verb
to save	ahorrar; guardar	Save the file before you close it.	verb
to seem	parecer	It seems difficult.	verb
to share	compartir	Let's share the bill.	verb
to solve	resolver	We solved the problem.	verb
to suggest	sugerir	I suggest we start earlier.	verb
to support	apoyar	My family supports me.	verb
to take care of	cuidar de	She takes care of her parents.	verb
to travel	viajar	I travel for work sometimes.	verb
to try	intentar, probar	Try again tomorrow.	verb
to understand	entender	I don't understand this part.	verb
to wait for	esperar a	I'm waiting for the bus.	verb
to worry about	preocuparse por	Don't worry about it.	verb
busy	ocupado	I'm busy this morning.	adj
free	libre; gratis	Are you free on Friday?	adj
cheap	barato	This one is cheaper.	adj
expensive	caro	Flights are expensive in August.	adj
easy	fácil	The test was easy.	adj
difficult	difícil	It's a difficult decision.	adj
early	temprano	I woke up early today.	adj
late	tarde	Sorry I'm late.	adj
quick	rápido	Let's have a quick coffee.	adj
slow	lento	The internet is slow today.	adj
safe	seguro	It's a safe neighbourhood.	adj
dangerous	peligroso	That road is dangerous.	adj
clean	limpio	The room is clean.	adj
dirty	sucio	My shoes are dirty.	adj
tired	cansado	I'm really tired.	adj
bored	aburrido (que se aburre)	I was bored at the meeting.	adj
boring	aburrido (que aburre)	The film was boring.	adj
excited	ilusionado, emocionado	I'm excited about the trip.	adj
worried	preocupado	She looks worried.	adj
surprised	sorprendido	I was surprised to see him.	adj
angry	enfadado	He got angry.	adj
proud	orgulloso	I'm proud of you.	adj
afraid of	con miedo a	I'm afraid of flying.	adj
lucky	afortunado	You're lucky.	adj
useful	útil	This app is very useful.	adj
useless	inútil	The instructions were useless.	adj
similar	parecido	Both options are similar.	adj
different	diferente	It's completely different.	adj
strange	raro	That's strange.	adj
common	común, frecuente	It's a common mistake.	adj
enough	suficiente	We don't have enough time.	adj
crowded	abarrotado	The train was crowded.	adj
empty	vacío	The office was empty.	adj
comfortable	cómodo	These shoes are comfortable.	adj
healthy	sano	I try to eat healthy food.	adj
sure	seguro (de algo)	Are you sure?	adj
ready	listo, preparado	I'm ready to go.	adj
available	disponible	Is the room available?	adj
possible	posible	Is it possible to change the date?	adj
likely	probable	It's likely to rain.	adj
worth	que vale la pena	It's worth trying.	adj
a mistake	un error	I made a mistake.	noun
a mess	un desastre, un lío	My desk is a mess.	noun
advice	consejo	Can I ask you for some advice?	noun
a deadline	una fecha límite	The deadline is Friday.	noun
a meeting	una reunión	I have a meeting at ten.	noun
a customer	un cliente	The customer is waiting.	noun
a colleague	un compañero de trabajo	She's a colleague from work.	noun
a manager	un jefe, un responsable	I talked to my manager.	noun
a salary	un sueldo	The salary is decent.	noun
an interview	una entrevista	I have an interview tomorrow.	noun
a skill	una habilidad	Communication is a key skill.	noun
experience	experiencia	I have three years of experience.	noun
a goal	un objetivo	My goal is to speak fluently.	noun
a habit	un hábito	Reading is a good habit.	noun
a reason	una razón	Give me one reason.	noun
a chance	una oportunidad; una posibilidad	Give me another chance.	noun
a choice	una elección	It was the right choice.	noun
a change	un cambio	We need a change.	noun
a problem	un problema	There's a problem with the file.	noun
a solution	una solución	I found a solution.	noun
a report	un informe	I sent the report yesterday.	noun
a meeting room	una sala de reuniones	The meeting room is booked.	noun
a deal	un acuerdo, un trato	We closed the deal.	noun
a budget	un presupuesto	The budget is tight.	noun
a bill	una factura, una cuenta	Can I have the bill, please?	noun
a receipt	un recibo	Keep the receipt.	noun
a queue	una cola	There was a long queue.	noun
a trip	un viaje	How was your trip?	noun
a flight	un vuelo	My flight is delayed.	noun
luggage	equipaje	I only have hand luggage.	noun
a neighbour	un vecino	My neighbour is very quiet.	noun
a landlord	un casero	The landlord raised the rent.	noun
a lease	un contrato de alquiler	The lease ends in June.	noun
a shift	un turno	I work the morning shift.	noun
a break	un descanso	Let's take a break.	noun
a holiday	unas vacaciones; un festivo	I'm on holiday next week.	noun
a weekday	un día laborable	I only go on weekdays.	noun
weather	tiempo (meteorológico)	The weather is nice today.	noun
news	noticias	The news was good.	noun
health	salud	Health comes first.	noun
traffic	tráfico	There was a lot of traffic.	noun
research	investigación	I did some research online.	noun
information	información	I need more information.	noun
progress	progreso	I'm making progress.	noun
feedback	comentarios, opinión	Thanks for the feedback.	noun
a suggestion	una sugerencia	I have a suggestion.	noun
a complaint	una queja	They received a complaint.	noun
a favour	un favor	Can I ask you a favour?	noun
a hurry	prisa	I'm in a hurry.	noun
on purpose	a propósito	He did it on purpose.	phrase
by accident	sin querer	I deleted it by accident.	phrase
by the way	por cierto	By the way, did you call him?	phrase
at least	al menos	It'll take at least an hour.	phrase
at last	por fin	At last, we finished.	phrase
as soon as	en cuanto	Call me as soon as you arrive.	phrase
as usual	como siempre	He was late, as usual.	phrase
in advance	con antelación	Book in advance.	phrase
on time	puntual, a tiempo	The train arrived on time.	phrase
in time	a tiempo (con margen)	We got there in time for dinner.	phrase
to look for	buscar	I'm looking for my keys.	phrasal
to look after	cuidar de	Can you look after the dog?	phrasal
to look forward to	tener ganas de	I'm looking forward to the weekend.	phrasal
to give back	devolver	Give me back my book.	phrasal
to take off	despegar; quitarse	The plane took off late.	phrasal
to put on	ponerse (ropa)	Put on your coat.	phrasal
to turn on	encender	Turn on the light.	phrasal
to turn off	apagar	Turn off the TV.	phrasal
to get up	levantarse	I get up at seven.	phrasal
to get in touch	ponerse en contacto	I'll get in touch next week.	phrasal
to run out of	quedarse sin	We ran out of milk.	phrasal
to check out	echar un vistazo; dejar el hotel	Check out this website.	phrasal
to sign up	apuntarse	I signed up for a course.	phrasal
to set up	montar, configurar	I set up the new laptop.	phrasal
to show up	aparecer, presentarse	He didn't show up.	phrasal
to end up	acabar (de una manera)	We ended up staying at home.	phrasal
to go on	continuar; pasar	What's going on?	phrasal
to come back	volver	I'll come back later.	phrasal
to go back	volver, regresar	I want to go back there.	phrasal
to grow up	criarse	I grew up in a small town.	phrasal
to hang out	pasar el rato	We hung out at the park.	phrasal
to make up your mind	decidirse	Make up your mind.	phrasal
to pick up	recoger	I'll pick you up at eight.	phrasal
to drop off	dejar (a alguien o algo)	Can you drop me off here?	phrasal
to break up	romper (una pareja)	They broke up last year.	phrasal
to calm down	calmarse	Calm down, it's fine.	phrasal
to cheer up	animarse	Cheer up, it's Friday.	phrasal
to work out	hacer ejercicio; salir bien	I work out three times a week.	phrasal
to eat out	comer fuera	Let's eat out tonight.	phrasal
to save up	ahorrar (para algo)	I'm saving up for a trip.	phrasal
to pay back	devolver (dinero)	I'll pay you back tomorrow.	phrasal
to cut down on	reducir (consumo)	I'm cutting down on sugar.	phrasal
to be into	gustar mucho, ir mucho	I'm really into running.	phrasal
to be used to	estar acostumbrado a	I'm used to getting up early.	phrasal
used to	solía	I used to live in Australia.	phrasal
to be about to	estar a punto de	I was about to call you.	phrasal
to feel like	apetecer	I feel like a coffee.	phrasal
to be worth it	merecer la pena	The trip was worth it.	phrasal
to make sense	tener sentido	That makes sense.	phrasal
to take part in	participar en	I took part in the project.	phrasal
to keep in mind	tener en cuenta	Keep in mind it's expensive.	phrasal
to make a decision	tomar una decisión	I need to make a decision.	phrasal
to take a decision	tomar una decisión	They took a difficult decision.	phrasal
to do your best	hacerlo lo mejor posible	Just do your best.	phrasal
to change your mind	cambiar de opinión	She changed her mind.	phrasal
to get used to	acostumbrarse a	I got used to the weather.	phrasal
to get rid of	deshacerse de	I got rid of my old sofa.	phrasal
to be in charge	estar al mando	Who is in charge here?	phrasal
to be on my own	estar solo	I live on my own.	phrasal
to have a look	echar un vistazo	Let me have a look.	phrasal
however	sin embargo	It's expensive. However, it's good.	connector
although	aunque	Although it rained, we went out.	connector
even though	a pesar de que	Even though I was tired, I finished.	connector
because of	debido a	We stayed home because of the rain.	connector
instead of	en lugar de	I had tea instead of coffee.	connector
as well as	además de	She speaks French as well as English.	connector
in order to	para	I came early in order to help.	connector
so that	para que	I wrote it down so that I wouldn't forget.	connector
therefore	por lo tanto	It was late; therefore we left.	connector
besides	además	Besides, it's cheaper.	connector
anyway	de todas formas	Anyway, let's move on.	connector
actually	en realidad	Actually, I disagree.	connector
maybe	quizás	Maybe tomorrow.	connector
probably	probablemente	He's probably at home.	connector
of course	por supuesto	Of course you can.	connector
in fact	de hecho	In fact, it was easy.	connector
for example	por ejemplo	For example, this one.	connector
such as	como, tal como	Fruit such as apples and pears.	connector
that's why	por eso	That's why I called you.	connector
according to	según	According to the news, it will rain.	connector
Nice to meet you	Encantado de conocerte	Nice to meet you, I'm Juan.	expression
How's it going?	¿Qué tal?	Hey, how's it going?	expression
Long time no see	Cuánto tiempo	Long time no see!	expression
What do you do?	¿A qué te dedicas?	So, what do you do?	expression
I'm sorry to hear that	Siento oír eso	I'm sorry to hear that.	expression
Never mind	No importa, da igual	Never mind, I'll do it.	expression
It doesn't matter	No importa	It doesn't matter to me.	expression
I don't mind	No me importa (me da igual)	I don't mind waiting.	expression
Let me know	Avísame	Let me know when you arrive.	expression
It's up to you	Tú decides	It's up to you.	expression
I'd rather	Prefiero	I'd rather stay home.	expression
Sounds good	Suena bien	Sounds good to me.	expression
Fair enough	Me parece justo, vale	Fair enough.	expression
No worries	No pasa nada	No worries, take your time.	expression
Hang on	Espera un momento	Hang on, I'm coming.	expression
I'm not sure	No estoy seguro	I'm not sure about that.	expression
Could you repeat that?	¿Puedes repetirlo?	Sorry, could you repeat that?	expression
What do you mean?	¿Qué quieres decir?	What do you mean exactly?	expression
Does that make sense?	¿Tiene sentido?	Does that make sense?	expression
Let me check	Déjame comprobarlo	Let me check and I'll tell you.	expression
I'll get back to you	Te digo algo	I'll get back to you tomorrow.	expression
As far as I know	Que yo sepa	As far as I know, it's free.	expression
To be honest	La verdad es que	To be honest, I didn't like it.	expression
In my opinion	En mi opinión	In my opinion, it's too early.	expression
